OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D,x,y
74,GO,1508627,3/29/2026 12:00:00 AM,COLE HARBOUR RD,1430,ASSAULT,-7068990.91990639,5569769.95359401
75,GO,1508646,3/29/2026 12:00:00 AM,MUMFORD RD,1430,ASSAULT,-7082218.34639769,5566297.46331961
76,GO,1508582,3/29/2026 12:00:00 AM,VICTORIA RD,1430,ASSAULT,-7076784.96322875,5569995.83666662
77,GO,1508606,3/29/2026 12:00:00 AM,CHAIN LAKE DR,1430,ASSAULT,-7088176.67263156,5567610.3474345
78,GO,1508502,3/29/2026 12:00:00 AM,HIGHFIELD PARK DR,1430,ASSAULT,-7078837.73057234,5572481.41589254
79,GO,1508556,3/29/2026 12:00:00 AM,SOBER ISLAND RD,1430,ASSAULT,-6952802.04006132,5598005.02233285
80,GO,1508612,3/29/2026 12:00:00 AM,WILLOWBEND CRT,1430,ASSAULT,-7085380.78353983,5567656.98413261
81,GO,1508505,3/29/2026 12:00:00 AM,SOUTH PARK ST,1420,ASSAULT,-7077633.05751368,5565285.36790181
82,GO,1508637,3/29/2026 12:00:00 AM,MANDAVILLE CRT,1430,ASSAULT,-7085560.28635305,5567155.56965942
83,GO,1508542,3/29/2026 12:00:00 AM,PROSPECT RD,2135,THEFT OF VEHICLE,-7087243.26995274,5561925.82256661
84,GO,1508669,3/29/2026 12:00:00 AM,SOUTH PARK ST,1430,ASSAULT,-7077486.66541082,5564871.42750456
85,GO,1508534,3/29/2026 12:00:00 AM,HOLLIS ST,1430,ASSAULT,-7076723.35656389,5565517.72139572
86,GO,1508820,3/30/2026 12:00:00 AM,SEROP CRES,1430,ASSAULT
87,GO,1508512,3/29/2026 12:00:00 AM,GEORGE ST,1430,ASSAULT,-7076983.60585094,5566346.56497539
88,GO,1508516,3/29/2026 12:00:00 AM,NOAH AVE,1430,ASSAULT,-7072544.70846084,5568023.5064141
89,GO,1508858,3/30/2026 12:00:00 AM,ARMSTRONG CRT,1420,ASSAULT,-7087994.15786656,5572087.56461364
90,GO,1508709,3/30/2026 12:00:00 AM,A DAKIN DR,2132,THEFT FROM VEHICLE,-7086853.58746939,5571923.34372936
91,GO,1508911,3/30/2026 12:00:00 AM,TOWER RD,2135,THEFT OF VEHICLE,-7077204.03755798,5562955.09271742
92,GO,1508881,3/30/2026 12:00:00 AM,LOWER GOVERNOR ST,1430,ASSAULT,-7061691.31706962,5576670.31733331
93,GO,1508814,3/30/2026 12:00:00 AM,CHAIN LAKE DR,1430,ASSAULT,-7088109.99323724,5566788.3484418
94,GO,1508748,3/30/2026 12:00:00 AM,MAILING ST,1430,ASSAULT,-7082674.001863,5567059.41589017
95,GO,1508689,3/30/2026 12:00:00 AM,LAYTON RD,1430,ASSAULT,-7082196.10214772,5562011.28028585
96,GO,1508893,3/30/2026 12:00:00 AM,BAYERS RD,1420,ASSAULT,-7082470.21410159,5567504.14262163
97,GO,1508806,3/30/2026 12:00:00 AM,ALDERNEY DR,1430,ASSAULT,-7076526.14234853,5568941.86207361
98,GO,1508846,3/30/2026 12:00:00 AM,OLIVET ST,1430,ASSAULT,-7082625.82600461,5566321.17373907
99,GO,1508861,3/30/2026 12:00:00 AM,CHAIN LAKE DR,2132,THEFT FROM VEHICLE,-7088586.96171081,5567220.49901601
100,GO,1508744,3/30/2026 12:00:00 AM,ELIZA RITCHIE CRES,2142,THEFT FROM VEHICLE,-7086369.03481862,5570508.91100863
101,GO,1508779,3/30/2026 12:00:00 AM,POOLE DR,2135,THEFT OF VEHICLE,-7076311.03657558,5553212.87836493
102,GO,1508923,3/31/2026 12:00:00 AM,SHARON DR,1430,ASSAULT,-7090917.7947969,5587458.68269707
103,GO,1508827,3/30/2026 12:00:00 AM,MAIN RD,1430,ASSAULT,-7069456.04368675,5561965.37087989
104,GO,1508914,3/31/2026 12:00:00 AM,CHAMPLAIN CRT,2142,THEFT FROM VEHICLE,-7089059.46410235,5577434.418554
105,GO,1508907,3/31/2026 12:00:00 AM,CHURCHILL TERR,1430,ASSAULT,-7064904.46320383,5581302.05692563
106,GO,1508910,3/31/2026 12:00:00 AM,WOODLAWN RD,1430,ASSAULT,-7071932.25669837,5571662.33560223
